video_id,title,published_at,views,likes,comments,duration,duration_sec,engagement_rate,like_rate,comment_rate,views_per_second,comments_per_second
l5PTG1m9vEE,She Used To Be A Man,2020-04-20T12:00:21Z,5205053,81166,7098,PT1M5S,65.0,0.016957368157442393,0.015593693282277818,0.0013636748751645756,80077.73846153847,109.2
7wQ93t7q8ss,Women VS. Men,2020-04-17T12:00:04Z,1797149,45202,3550,PT1M14S,74.0,0.027127411249707176,0.02515206029104988,0.0019753509586572953,24285.797297297297,47.972972972972975
qsMiiLHVDe8,Why I Wake Up Early,2020-04-15T12:00:23Z,3184634,64681,5124,PT1M11S,71.0,0.021919316317039885,0.020310340214919516,0.0016089761021203693,44854.0,72.16901408450704
mn2UAPYD5PM,How Armenia Teaches Kids,2020-04-14T12:00:24Z,604307,13521,1062,PT1M10S,70.0,0.024131774081716743,0.022374389176362346,0.0017573849053543976,8632.957142857143,15.17142857142857
ZuLC4j_ohdw,The Hidden Cost Of Japan,2020-04-13T12:00:32Z,2230513,45776,2212,PT1M7S,67.0,0.021514333249795,0.020522633134171377,0.0009917001156236256,33291.23880597015,33.014925373134325
xvyMZ_4Zmj8,Energy From...Poop?,2020-04-11T12:00:35Z,933905,22719,1710,PT1M25S,85.0,0.026157906853480815,0.024326885496918853,0.0018310213565619628,10987.117647058823,20.11764705882353
HUq0rsv107I,How White Is London?,2020-04-09T12:00:13Z,1894347,40295,4629,PT1M14S,74.0,0.023714768202446543,0.021271182101272892,0.00244358610117365,25599.283783783783,62.554054054054056
TAQctZpOuVs,The Most Fun Country,2020-04-08T12:00:13Z,1394098,32420,1861,PT6M1S,361.0,0.024590093379375053,0.02325518005190453,0.0013349133274705221,3861.7673130193907,5.1551246537396125
_-RXonU5t5Q,Slums Of India,2020-04-07T12:00:26Z,422068,14563,1424,PT1M7S,67.0,0.03787778272695395,0.03450391879981425,0.0033738639271397026,6299.522388059701,21.253731343283583
sXmgmEUx4HQ,Does Your City Have This?!,2020-04-06T12:00:26Z,338636,10127,1552,PT1M7S,67.0,0.03448835918213067,0.029905267012367263,0.004583092169763403,5054.268656716418,23.16417910447761
VOEog1_OoXk,She Has 20 Cars,2020-04-03T12:00:24Z,2077214,42482,4546,PT1M3S,63.0,0.02263993984250058,0.020451431580954103,0.002188508261546475,32971.65079365079,72.15873015873017
dMDAcJ7eXHI,"The ""B"" Word",2020-04-02T12:00:30Z,1539055,34580,3295,PT1M20S,80.0,0.024609256979120305,0.022468332840606738,0.0021409241385135684,19238.1875,41.1875
xSS4eceZd0o,"She Has 1000 ""Animals""",2020-04-01T12:00:28Z,2534474,39843,1561,PT1M7S,67.0,0.016336328563638845,0.015720421673293947,0.0006159068903449,37827.97014925373,23.29850746268657
ySsGRbTIXZg,Why I Never Drink Coffee,2020-03-31T12:00:22Z,3780553,75092,6450,PT1M9S,69.0,0.021568802236074987,0.01986270262577988,0.0017060996102951076,54790.6231884058,93.47826086956522
2Kj4Hs4pGwg,She Can Build A House From Glass,2020-03-30T12:00:00Z,3829424,60704,2350,PT1M7S,67.0,0.01646566167653412,0.01585199236229783,0.0006136693142362924,57155.58208955224,35.07462686567164
JoCdlHCNP78,The Visa-Free Country,2020-03-27T12:00:10Z,458307,13018,988,PT1M21S,81.0,0.03056030128276461,0.02840454106090459,0.0021557602218600196,5658.111111111111,12.197530864197532
8cJ9ZIOX0tg,He Is The Hyena Man!,2020-03-26T12:00:04Z,1201611,20203,1501,PT1M22S,82.0,0.018062417870675286,0.016813261529729673,0.001249156340945614,14653.792682926829,18.304878048780488
wdreKcMgyu4,Albania's Tattoo King,2020-03-24T12:00:30Z,666925,11403,855,PT1M21S,81.0,0.018379877797353526,0.01709787457360273,0.0012820032237507966,8233.641975308641,10.555555555555555
nH42Jd2D2zU,How Singapore Drives,2020-03-23T12:00:30Z,414929,11074,1061,PT1M13S,73.0,0.02924596738237144,0.026688903402750833,0.00255706397962061,5683.958904109589,14.534246575342467
uwRWBWVSUDo,How I Learned To Swim,2020-03-21T12:00:19Z,1501306,34790,2833,PT2M8S,128.0,0.025060180935798565,0.023173157237764985,0.0018870236980335787,11728.953125,22.1328125
RVwGdUiPsPU,$12 For 1 Grape!,2020-03-20T12:00:17Z,8011841,96035,5096,PT1M6S,66.0,0.012622691838242921,0.011986633284409912,0.0006360585538330079,121391.5303030303,77.21212121212122
RZFdiFRfENg,"$150,000 For A Golf Cart?!",2020-03-19T12:00:12Z,736309,12513,834,PT1M12S,72.0,0.018126900526816866,0.016994223892414735,0.0011326766344021328,10226.513888888889,11.583333333333334
sMTXUr1dzE8,World's Biggest Nut!,2020-03-18T12:00:32Z,4891179,81666,11891,PT1M18S,78.0,0.019127699068057006,0.01669658787789202,0.002431111190164989,62707.42307692308,152.44871794871796
O1nBvQ5noeo,He Built A Robot From Trash!!,2020-03-17T12:00:15Z,2258540,49393,2922,PT1M3S,63.0,0.02316319392173705,0.021869437778387808,0.0012937561433492434,35849.84126984127,46.38095238095238
RgHFlEL-Bhk,He Knows Every Language!,2020-03-16T12:00:23Z,10990324,252761,11147,PT1M9S,69.0,0.02401275885952043,0.02299850304686195,0.0010142558126584804,159280.0579710145,161.55072463768116
ngqYdxSjyYU,The Country Of Potatoes!,2020-03-15T12:00:12Z,248519,6043,1312,PT1M24S,84.0,0.029595322691625188,0.02431604826995119,0.0052792744216739965,2958.559523809524,15.619047619047619
